title,channel,view_count,view_text,duration,published,url,scraped_at
Python Full Course For Beginners| Job Ready Python Course by Sagar Chouksey 🔥,Coding With Sagar,748220,"748,220 views",5:00:08,1 year ago,https://www.youtube.com/watch?v=gPvYox9JIYI,2026-05-23T19:48:55
Python for Data Analytics - Full Course for Beginners,Luke Barousse,1366497,"1,366,497 views",11:09:41,1 year ago,https://www.youtube.com/watch?v=wUSDVGivd-8,2026-05-23T19:48:56
Web Scraping with Python - Beautiful Soup Crash Course,freeCodeCamp.org,1797180,"1,797,180 views",1:08:23,5 years ago,https://www.youtube.com/watch?v=XVv6mJpFOb0,2026-05-23T19:48:56
Python Tutorial for Beginners (with mini-projects),freeCodeCamp.org,1067527,"1,067,527 views",8:41:54,2 years ago,https://www.youtube.com/watch?v=qwAFL1597eM,2026-05-23T19:48:56
OpenCV Python Course - Learn Computer Vision and AI,freeCodeCamp.org,678954,"678,954 views",3:00:26,4 years ago,https://www.youtube.com/watch?v=P4Z8_qe2Cu0,2026-05-23T19:48:56
Python Full Course❤️ | Variables & Data Types | Lecture 1,Shradha Khapra,17225973,"17,225,973 views",1:22:19,2 years ago,https://www.youtube.com/watch?v=t2_Q2BRzeEE,2026-05-23T19:48:56
Python beginner course | Great for kids!,Hackingtons Code School,260791,"260,791 views",48:55,3 years ago,https://www.youtube.com/watch?v=m8DXAsyaMK0,2026-05-23T19:48:56
"Data Analysis with Python Course - Numpy, Pandas, Data Visualization",freeCodeCamp.org,3248846,"3,248,846 views",9:56:23,5 years ago,https://www.youtube.com/watch?v=GPVsHOlRBBI,2026-05-23T19:48:56
"OOP in Python - Classes, Objects, class methods, monkey patching & more!",Socratica,46677,"46,677 views",11:25,2 years ago,https://www.youtube.com/watch?v=0XR_91AfgZI,2026-05-23T19:48:56
Learn Python OOP in under 20 Minutes,Indently,575855,"575,855 views",18:32,1 year ago,https://www.youtube.com/watch?v=rLyYb7BFgQI,2026-05-23T19:48:56
Data Science Full Course 2026 | Data Science Tutorial | Data Science In 50 Hours | Simplilearn,Simplilearn,8569,"8,569 views",49:35:53,3 days ago,https://www.youtube.com/watch?v=oopNG3ll8MQ,2026-05-23T19:48:56
Data Structures and Algorithms in Python - Full Course for Beginners,freeCodeCamp.org,3202741,"3,202,741 views",12:30:50,4 years ago,https://www.youtube.com/watch?v=pkYVOmU3MgA,2026-05-23T19:48:58
Learn Python in 1 hour! 🐍,Bro Code,574214,"574,214 views",1:00:00,1 year ago,https://www.youtube.com/watch?v=8KCuHHeC_M0,2026-05-23T19:48:58
"Free Certification Courses by Govt of India |  Learn Python, MATLAB, VLSI, Machine Learning for FREE",Priya Dogra,4320,"4,320 views",6:00,6 months ago,https://www.youtube.com/watch?v=IUy3B2G-lNQ,2026-05-23T19:48:58
Python Class Inheritance,b001,63687,"63,687 views",5:22,1 year ago,https://www.youtube.com/watch?v=an6wd3dpEjA,2026-05-23T19:48:58
Python Object Oriented Programming (OOP) - For Beginners,Tech With Tim,3954560,"3,954,560 views",53:06,6 years ago,https://www.youtube.com/watch?v=JeznW_7DlB0,2026-05-23T19:48:58
All Python Syntax in 25 Minutes – Tutorial,Beau Carnes,280704,"280,704 views",24:59,2 years ago,https://www.youtube.com/watch?v=PNSIWjWAA7o,2026-05-23T19:48:58
"coding is easy, actually","easy, actually",1421798,"1,421,798 views",9:48,1 year ago,https://www.youtube.com/watch?v=qkFYqY3vr84,2026-05-23T19:48:58
FREE Python Programming Full Course (2025) | 15 Hours Master Class,Azad Chaiwala,36420,"36,420 views",15:21:46,11 months ago,https://www.youtube.com/watch?v=ZUkaOGdqlo0,2026-05-23T19:48:58
Python Tutorial for Beginners 2026,Telusko,153751,"153,751 views",8:35:29,2 months ago,https://www.youtube.com/watch?v=j_JuhAWlEaI,2026-05-23T19:48:58
